unix_time,stage,difficulty,sps,episodes,avg_return,touch_rate,goal_rate,blue_goal_rate,median_t_first,median_t_goal,ema_touch,ema_goal
1775095823.139,CONTACT,0.000000,222.891,96,1.605616,0.520833,0.000000,,12.000,-1.000,0.000000,0.000000
1775095851.605,CONTACT,0.000000,219.572,79,1.661998,0.379747,0.000000,,14.000,-1.000,0.104167,0.000000
1775095883.105,CONTACT,0.000000,198.416,86,2.087626,0.465116,0.000000,,12.000,-1.000,0.159283,0.000000
1775095911.312,CONTACT,0.000000,221.586,94,2.017226,0.510638,0.000000,,11.000,-1.000,0.220449,0.000000
1775095941.661,CONTACT,0.000000,205.944,109,2.345132,0.577982,0.000000,,12.000,-1.000,0.278487,0.000000
1775095967.007,CONTACT,0.000000,246.597,97,2.187712,0.525773,0.000000,,12.000,-1.000,0.338386,0.000000
1775095991.106,CONTACT,0.000000,259.362,101,3.276490,0.544554,0.000000,,13.000,-1.000,0.375864,0.000000
1775096015.487,CONTACT,0.000000,256.355,113,3.436573,0.610619,0.000000,,12.000,-1.000,0.409602,0.000000
1775096039.943,CONTACT,0.000000,255.573,119,3.379002,0.647059,0.000000,,12.000,-1.000,0.449805,0.000000
1775096064.305,CONTACT,0.000000,256.555,123,3.385734,0.642276,0.000000,,12.000,-1.000,0.489256,0.000000
1775096088.610,CONTACT,0.000000,257.155,115,3.005032,0.617391,0.000000,,12.000,-1.000,0.519860,0.000000
1775096112.877,CONTACT,0.000000,257.562,117,3.801597,0.649573,0.000000,,13.000,-1.000,0.539366,0.000000
1775096137.379,CONTACT,0.005409,255.092,146,4.514936,0.732877,0.000000,,14.000,-1.000,0.561408,0.000000
1775096161.675,CONTACT,0.029841,257.253,141,4.246780,0.730496,0.000000,,14.000,-1.000,0.595701,0.000000
1775096186.189,CONTACT,0.064693,254.965,120,5.041936,0.658333,0.000000,,15.000,-1.000,0.622660,0.000000
1775096215.364,CONTACT,0.091567,214.237,119,5.201190,0.663866,0.000000,,16.000,-1.000,0.629795,0.000000
1775096247.082,CONTACT,0.117364,197.057,110,6.129191,0.681818,0.000000,,18.000,-1.000,0.636609,0.000000
1775096279.399,CONTACT,0.144618,193.403,105,5.649769,0.638095,0.000000,,17.000,-1.000,0.645651,0.000000
1775096304.124,CONTACT,0.162160,252.792,109,6.332663,0.642202,0.000000,,20.000,-1.000,0.644140,0.000000
1775096329.786,CONTACT,0.176743,243.564,127,6.667736,0.755906,0.000000,,21.000,-1.000,0.643752,0.000000
1775096355.123,CONTACT,0.212144,246.687,109,7.609020,0.660550,0.000000,,23.000,-1.000,0.666183,0.000000
1775096380.368,CONTACT,0.229749,247.639,116,7.700999,0.741379,0.000000,,25.500,-1.000,0.665056,0.000000
1775096405.408,CONTACT,0.261930,249.615,118,7.888157,0.754237,0.000000,,27.000,-1.000,0.680321,0.000000
1775096430.657,CONTACT,0.298491,247.557,100,8.056623,0.670000,0.000000,,27.000,-1.000,0.695104,0.000000
1775096455.579,CONTACT,0.313989,250.800,99,9.799582,0.717172,0.000000,,36.000,-1.000,0.690083,0.000000
1775096484.659,CONTACT,0.336114,214.934,99,9.943534,0.737374,0.000000,,35.000,-1.000,0.695501,0.000000
1775096510.027,DRIBBLE,0.000000,246.395,29,9.290302,0.862069,0.000000,,48.000,-1.000,0.703876,0.000000
1775096537.998,DRIBBLE,0.090000,223.456,31,9.462011,0.903226,0.000000,,35.000,-1.000,0.735514,0.000000
1775096565.959,DRIBBLE,0.163800,223.537,32,8.650060,0.625000,0.000000,,59.000,-1.000,0.769057,0.000000
1775096597.190,DRIBBLE,0.156816,200.128,34,8.162819,0.588235,0.000000,,45.000,-1.000,0.740245,0.000000
1775096629.158,DRIBBLE,0.140060,195.518,32,9.311299,0.812500,0.000000,,41.500,-1.000,0.709843,0.000000
1775096659.246,DRIBBLE,0.193599,207.737,31,9.298825,0.838710,0.000000,,42.500,-1.000,0.730375,0.000000
1775096684.502,DRIBBLE,0.245364,247.475,31,10.030907,0.870968,0.000000,,43.000,-1.000,0.752042,0.000000
1775096712.591,DRIBBLE,0.291199,222.525,32,10.662174,0.812500,0.031250,,35.500,327.000,0.775827,0.000000
1775096737.598,DRIBBLE,0.317908,249.940,28,12.400251,0.964286,0.035714,,36.000,207.000,0.783161,0.006250
1775096769.547,DRIBBLE,0.362999,195.635,29,12.560919,1.000000,0.068966,,36.000,206.500,0.819386,0.012143
1775096797.479,DRIBBLE,0.410049,223.770,24,14.661025,0.916667,0.000000,,37.500,-1.000,0.855509,0.023507
1775096828.698,DRIBBLE,0.426240,200.211,21,18.442548,1.000000,0.190476,,27.000,181.000,0.867741,0.018806
1775096860.741,DRIBBLE,0.503460,195.053,22,18.441702,1.000000,0.318182,,28.000,173.000,0.894192,0.053140
1775096892.863,SHOOT,0.000000,194.583,21,13.108679,0.952381,0.142857,,28.500,149.000,0.915354,0.106148
1775096918.754,SHOOT,0.100535,241.416,21,13.173474,1.000000,0.238095,,29.000,169.000,0.922759,0.113490
1775096951.381,SHOOT,0.213884,191.589,21,12.432326,0.904762,0.190476,,31.000,166.000,0.938207,0.138411
1775097127.880,CONTACT,0.000000,204.893,397,5.234470,0.994962,0.000000,,14.000,-1.000,0.000000,0.000000
1775097155.250,CONTACT,0.000000,228.401,381,5.263784,0.989501,0.000000,,13.000,-1.000,0.198992,0.000000
1775097179.656,CONTACT,0.000000,256.109,347,5.651452,0.997118,0.000000,,15.000,-1.000,0.357094,0.000000
1775097206.641,CONTACT,0.000000,231.633,363,5.360262,0.991736,0.000000,,14.500,-1.000,0.485099,0.000000
1775097235.262,CONTACT,0.026227,218.388,315,5.963236,0.990476,0.000000,,15.000,-1.000,0.586426,0.000000
1775097320.696,CONTACT,0.000000,236.440,322,5.722921,0.996894,0.000000,,16.000,-1.000,0.000000,0.000000
1775097349.978,CONTACT,0.000000,213.503,300,5.745146,0.990000,0.000000,,18.000,-1.000,0.199379,0.000000
1775097424.208,SHOOT,0.000000,262.077,29,8.009678,1.000000,0.137931,,45.000,145.000,0.000000,0.000000
1775097447.596,SHOOT,0.099436,267.314,27,8.966385,0.814815,0.000000,,35.000,-1.000,0.200000,0.027586
1775097471.265,SHOOT,0.115585,264.088,29,7.271413,0.689655,0.000000,,62.500,-1.000,0.322963,0.022069
1775097495.337,SHOOT,0.112736,259.667,31,7.335539,0.741935,0.000000,,50.000,-1.000,0.396301,0.017655
1775097520.324,SHOOT,0.117121,250.159,30,6.970564,0.833333,0.100000,,61.000,107.000,0.465428,0.014124
1775097545.147,SHOOT,0.177468,251.811,32,7.015467,0.625000,0.000000,,44.000,-1.000,0.539009,0.031299
1775097576.731,SHOOT,0.155166,197.906,28,7.825806,0.785714,0.000000,,56.000,-1.000,0.556207,0.025039
1775097605.242,SHOOT,0.157542,219.241,29,8.209849,0.724138,0.068966,,60.000,247.500,0.602109,0.020032
1775097634.996,SHOOT,0.163886,210.072,30,7.868778,0.733333,0.033333,,46.000,146.000,0.626515,0.029818
1775097663.805,SHOOT,0.180570,216.968,29,7.818772,0.724138,0.000000,,49.000,-1.000,0.647878,0.030521
1775097689.281,SHOOT,0.170457,245.363,23,11.458074,0.869565,0.173913,,42.000,188.500,0.663130,0.024417
1775097713.449,SHOOT,0.240911,258.628,24,9.922002,0.708333,0.000000,,51.000,-1.000,0.704417,0.054316
1775097739.100,SHOOT,0.217904,243.685,21,11.903049,0.952381,0.238095,,41.500,184.000,0.705200,0.043453
1775097767.526,SHOOT,0.307596,219.894,18,15.562946,0.944444,0.166667,,38.000,274.000,0.754637,0.082381
1775097792.578,SHOOT,0.340241,249.510,20,13.298687,0.950000,0.300000,,38.000,195.000,0.792598,0.099239
1775097817.142,SHOOT,0.428341,254.469,19,14.847237,0.842105,0.105263,,33.000,172.000,0.824079,0.139391
1775097844.094,SHOOT,0.426916,231.918,17,17.565647,1.000000,0.117647,,55.000,145.500,0.827684,0.132565
1775097873.500,SHOOT,0.442121,212.562,19,15.054503,0.894737,0.157895,,38.000,188.000,0.862147,0.129582
1775097899.464,SHOOT,0.461230,240.748,19,15.663791,0.947368,0.105263,,46.500,182.500,0.868665,0.135244
1775097927.022,SHOOT,0.459556,226.823,17,18.192907,0.941176,0.235294,,34.500,172.500,0.884406,0.129248
1775097951.325,SHOOT,0.506683,257.198,17,17.737801,1.000000,0.176471,,35.000,331.000,0.895760,0.150457
1775097978.382,SHOOT,0.506009,231.049,17,18.187582,1.000000,0.176471,,32.000,258.000,0.916608,0.155660
1775098007.987,SHOOT,0.509169,211.134,18,17.329338,1.000000,0.222222,,38.000,134.500,0.933286,0.159822
1775098039.847,SHOOT,0.549072,196.189,17,18.607420,0.941176,0.117647,,36.000,238.500,0.946629,0.172302
1775098065.590,SHOOT,0.526595,242.820,21,16.499909,1.000000,0.333333,,38.000,135.000,0.945539,0.161371
1775098097.819,DEFEND,0.000000,193.951,20,10.859778,0.750000,0.350000,,59.000,91.000,0.956431,0.195764
1775098130.076,SELF_PLAY,0.000000,193.778,3,15.390507,1.000000,1.000000,,45.000,570.000,0.915145,0.226611
1775098163.165,SELF_PLAY,0.120000,188.909,4,40.078167,1.000000,1.000000,,42.500,2478.500,0.932116,0.381289
1775098195.127,SELF_PLAY,0.225600,195.570,4,19.879499,1.000000,1.000000,,54.000,987.500,0.945693,0.505031
1775098228.037,SELF_PLAY,0.318528,189.937,6,21.033961,1.000000,1.000000,,48.500,1494.500,0.956554,0.604025
1775098260.545,SELF_PLAY,0.400305,192.287,6,16.009995,1.000000,1.000000,,46.500,886.000,0.965243,0.683220
1775098293.016,SELF_PLAY,0.472268,192.513,3,29.252012,1.000000,1.000000,,46.000,2205.000,0.972195,0.746576
1775098326.350,SELF_PLAY,0.535596,187.516,6,19.527444,1.000000,1.000000,,51.500,741.000,0.977756,0.797261
1775098358.759,SELF_PLAY,0.591324,192.893,3,28.501207,1.000000,1.000000,,52.000,1906.000,0.982205,0.837809
1775098391.346,SELF_PLAY,0.640365,191.822,3,32.835377,1.000000,1.000000,,45.000,1970.000,0.985764,0.870247
1775098424.702,SELF_PLAY,0.683522,187.394,6,25.102329,1.000000,1.000000,,48.500,740.500,0.988611,0.896197
1775098458.156,SELF_PLAY,0.721499,186.849,6,16.983063,1.000000,1.000000,,51.000,641.000,0.990889,0.916958
1775098492.302,SELF_PLAY,0.754919,183.067,7,14.608402,1.000000,1.000000,,47.000,532.000,0.992711,0.933566
1775098571.342,CONTACT,0.000000,223.027,439,5.206141,0.997722,0.000000,,0.000000,12.000,-1.000,0.000000
1775098665.180,SELF_PLAY,0.000000,132.969,6,14.040040,1.000000,1.000000,,0.500000,47.500,642.000,0.000000
1775098700.081,SELF_PLAY,0.120000,179.337,3,41.252484,1.000000,0.666667,,0.333333,45.000,984.000,0.200000
1775098732.396,SELF_PLAY,0.225600,193.449,6,18.227485,1.000000,1.000000,,0.500000,45.500,1051.500,0.360000
1775098764.525,SELF_PLAY,0.318528,194.570,6,22.180150,1.000000,1.000000,,0.333333,50.500,855.000,0.488000
1775098799.149,SELF_PLAY,0.400305,180.539,4,26.891411,1.000000,1.000000,,1.000000,48.500,1130.000,0.590400
1775098834.100,SELF_PLAY,0.472268,178.849,9,13.880870,1.000000,1.000000,0.555556,43.000,451.000,0.672320,0.638187
1775098865.459,SELF_PLAY,0.535596,199.351,2,39.851275,1.000000,1.000000,1.000000,42.000,2179.000,0.737856,0.710549
1775098897.755,SELF_PLAY,0.591324,193.554,6,23.820387,1.000000,1.000000,0.833333,48.500,859.500,0.790285,0.768439
1775098930.501,SELF_PLAY,0.640365,190.897,9,12.669899,1.000000,1.000000,0.555556,47.000,548.000,0.832228,0.814752
1775098964.014,SELF_PLAY,0.683522,186.531,6,20.609914,1.000000,1.000000,0.666667,47.500,979.000,0.865782,0.851801
1775098998.141,SELF_PLAY,0.721499,183.169,7,11.210144,1.000000,1.000000,0.285714,43.000,488.000,0.892626,0.881441
1775099096.273,SELF_PLAY,0.000000,160.475,6,19.848623,1.000000,1.000000,0.500000,49.000,1005.000,0.000000,0.000000
1775099131.036,SELF_PLAY,0.120000,179.897,6,18.428882,1.000000,1.000000,0.833333,45.500,748.000,0.200000,0.200000
1775099166.781,SELF_PLAY,0.225600,174.892,5,23.779293,1.000000,1.000000,0.400000,44.000,1106.000,0.360000,0.360000
1775099202.235,SELF_PLAY,0.318528,176.323,7,16.893752,1.000000,1.000000,0.285714,44.000,452.000,0.488000,0.488000
1775099237.423,SELF_PLAY,0.400305,177.647,6,15.410416,1.000000,1.000000,0.333333,46.000,594.500,0.590400,0.590400
1775099273.468,SELF_PLAY,0.472268,173.428,6,24.047421,1.000000,1.000000,0.333333,46.500,1169.000,0.672320,0.672320
1775099306.566,SELF_PLAY,0.535596,188.865,6,20.739042,1.000000,1.000000,0.000000,47.500,744.500,0.737856,0.737856
1775186123.422,SELF_PLAY,0.591324,61.282,3,37.681582,1.000000,1.000000,0.666667,47.000,1376.000,0.790285,0.790285
1775186210.904,SELF_PLAY,0.640365,71.509,5,26.682444,1.000000,1.000000,0.400000,50.000,1858.000,0.832228,0.832228
1775186299.187,SELF_PLAY,0.683522,70.802,5,12.946144,1.000000,1.000000,0.400000,47.000,403.000,0.865782,0.865782
1775186390.477,SELF_PLAY,0.721499,68.469,12,18.712924,1.000000,1.000000,0.833333,48.500,265.000,0.892626,0.892626
1775186480.834,SELF_PLAY,0.754919,69.177,5,25.583732,1.000000,1.000000,0.400000,48.000,1083.000,0.914101,0.914101
1775186571.047,SELF_PLAY,0.784329,69.287,4,37.718756,1.000000,1.000000,0.500000,45.500,1661.500,0.931281,0.931281
1775186681.362,SELF_PLAY,0.810209,168.828,2,38.781374,1.000000,1.000000,0.500000,44.500,2169.000,0.945024,0.945024
1775186718.071,SELF_PLAY,0.832984,170.327,4,35.527642,1.000000,1.000000,1.000000,40.500,1525.500,0.956020,0.956020
1775186755.463,SELF_PLAY,0.853026,167.177,9,12.858247,1.000000,1.000000,0.444444,45.000,307.000,0.964816,0.964816
1775186794.197,SELF_PLAY,0.870663,161.386,7,17.264880,1.000000,1.000000,0.857143,47.000,804.000,0.971853,0.971853
1775186833.057,SELF_PLAY,0.886183,160.860,7,17.732034,1.000000,1.000000,0.857143,46.000,638.000,0.977482,0.977482
1775186871.553,SELF_PLAY,0.899841,162.378,5,20.584256,1.000000,1.000000,0.600000,45.000,999.000,0.981986,0.981986
1775186910.478,SELF_PLAY,0.911860,160.587,3,35.608094,1.000000,1.000000,0.333333,39.000,1826.000,0.985588,0.985588
1775186948.674,SELF_PLAY,0.922437,163.659,9,16.749766,1.000000,1.000000,0.555556,44.000,362.000,0.988471,0.988471
1775186987.449,SELF_PLAY,0.931745,161.207,2,37.191612,1.000000,1.000000,0.000000,46.000,1916.500,0.990777,0.990777
1775187026.924,SELF_PLAY,0.939935,158.346,5,36.966317,1.000000,1.000000,0.600000,41.000,1641.000,0.992621,0.992621
1775187066.212,SELF_PLAY,0.947143,159.106,4,31.809173,1.000000,0.750000,0.000000,38.500,378.000,0.994097,0.994097
1775187105.559,SELF_PLAY,0.953486,158.879,6,21.990975,1.000000,1.000000,0.833333,43.000,1031.500,0.995278,0.945278
1775187145.653,SELF_PLAY,0.959068,155.907,9,13.576214,1.000000,1.000000,0.444444,45.000,231.000,0.996222,0.956222
1775187185.588,SELF_PLAY,0.963980,156.571,10,12.184916,1.000000,1.000000,0.600000,44.500,421.000,0.996978,0.964978
1775187226.116,SELF_PLAY,0.968302,154.239,4,27.962714,1.000000,1.000000,0.750000,42.500,1411.000,0.997582,0.971982
1775187265.189,SELF_PLAY,0.972106,159.981,7,17.884781,1.000000,1.000000,0.428571,45.000,341.000,0.998066,0.977586
1775187304.630,SELF_PLAY,0.975453,158.513,4,36.756890,1.000000,1.000000,0.250000,43.000,1667.500,0.998453,0.982069
1775187344.415,SELF_PLAY,0.978399,157.114,8,16.324618,1.000000,1.000000,0.375000,40.500,842.000,0.998762,0.985655
1775187384.098,SELF_PLAY,0.980991,157.526,5,24.897701,1.000000,1.000000,0.200000,43.000,667.000,0.999010,0.988524
1775187429.253,SELF_PLAY,0.983272,138.433,10,14.457020,1.000000,1.000000,0.600000,45.500,540.500,0.999208,0.990819
1775187469.870,SELF_PLAY,0.985279,153.898,9,11.823668,1.000000,1.000000,0.777778,44.000,527.000,0.999366,0.992655
1775187509.475,SELF_PLAY,0.987046,157.852,7,23.116713,1.000000,1.000000,0.714286,42.000,656.000,0.999493,0.994124
1775187552.401,SELF_PLAY,0.988600,145.631,3,39.550144,1.000000,1.000000,0.333333,44.000,951.000,0.999594,0.995299
1775187595.578,SELF_PLAY,0.989968,144.783,8,16.948043,1.000000,1.000000,0.625000,41.000,540.000,0.999675,0.996240
1775187637.729,SELF_PLAY,0.991172,148.315,6,18.237010,1.000000,1.000000,0.500000,40.500,606.500,0.999740,0.996992
1775187684.121,SELF_PLAY,0.992231,134.756,5,22.773377,1.000000,1.000000,0.400000,38.000,847.000,0.999792,0.997593
1775187723.887,SELF_PLAY,0.993164,157.199,4,39.823422,1.000000,1.000000,0.250000,41.000,1947.000,0.999834,0.998075
1775187772.021,SELF_PLAY,0.993984,129.931,7,16.406447,1.000000,1.000000,0.571429,43.000,221.000,0.999867,0.998460
1775187814.334,SELF_PLAY,0.994706,147.731,5,26.539555,1.000000,1.000000,0.600000,40.000,1077.000,0.999894,0.998768
1775187857.665,SELF_PLAY,0.995341,144.263,7,24.729551,1.000000,1.000000,0.428571,44.000,560.000,0.999915,0.999014
1775187900.447,SELF_PLAY,0.995900,146.140,7,23.282131,1.000000,1.000000,0.142857,42.000,1008.000,0.999932,0.999211
1775187953.828,SELF_PLAY,0.996392,117.099,7,19.734305,1.000000,1.000000,0.571429,36.000,488.000,0.999946,0.999369
1775188000.438,SELF_PLAY,0.996825,134.131,3,31.449003,1.000000,1.000000,0.666667,41.000,868.000,0.999956,0.999495
1775188043.745,SELF_PLAY,0.997206,144.342,10,17.490312,1.000000,1.000000,0.600000,40.000,606.500,0.999965,0.999596
1775188087.004,SELF_PLAY,0.997541,144.509,6,18.524168,1.000000,1.000000,0.666667,39.500,360.500,0.999972,0.999677
1775188129.057,SELF_PLAY,0.997836,148.653,5,31.657450,1.000000,1.000000,0.800000,43.000,954.000,0.999978,0.999742
1775188170.674,SELF_PLAY,0.998096,150.222,5,23.154010,1.000000,1.000000,0.600000,40.000,667.000,0.999982,0.999793
1775188211.850,SELF_PLAY,0.998325,151.817,8,19.183911,1.000000,1.000000,0.500000,38.000,783.000,0.999986,0.999835
1775188254.439,SELF_PLAY,0.998526,146.780,8,16.967675,1.000000,1.000000,0.500000,41.000,719.500,0.999989,0.999868
1775188302.172,SELF_PLAY,0.998703,130.960,6,16.564970,1.000000,1.000000,0.666667,41.000,625.500,0.999991,0.999894
1775188343.292,SELF_PLAY,0.998858,152.037,4,41.758847,1.000000,1.000000,0.750000,40.000,1640.500,0.999993,0.999915
1775188386.291,SELF_PLAY,0.998995,145.371,6,20.020457,1.000000,1.000000,0.833333,41.500,433.500,0.999994,0.999932
1775188429.326,SELF_PLAY,0.999116,145.290,8,18.593803,1.000000,1.000000,0.500000,37.500,604.500,0.999995,0.999946
1775188471.595,SELF_PLAY,0.999222,147.894,5,21.166844,1.000000,1.000000,0.800000,43.000,942.000,0.999996,0.999957
1775188514.841,SELF_PLAY,0.999315,144.551,4,45.386582,1.000000,1.000000,0.500000,39.500,1949.500,0.999997,0.999965
